name,price,size,area,url,monthly_fee,date_sold
Johanneshovs­vägen 145,4 600 000 kr,"82 m², 3 rum","Lägenhet, Årsta",https://www.booli.se/annons/4722298,4 801 kr/mån,2022-08-23
Filipstads­backen 38,2 700 000 kr,"59½ m², 2 rum","Lägenhet, Larsboda",https://www.booli.se/bostad/571696,3 318 kr/mån,2022-08-23
Allhelgona­gatan 7,5 100 000 kr,"60 m², 2 rum","Lägenhet, Katarina",https://www.booli.se/annons/4671707,2 428 kr/mån,2022-08-20
Gröndals­vägen 39,6 050 000 kr,"67 m², 3 rum","Lägenhet, Gröndal",https://www.booli.se/annons/4724040,3 869 kr/mån,2022-08-23
Rusthållar­vägen 139,1 900 000 kr,"27 m², 1 rum","Lägenhet, Bagarmossen",https://www.booli.se/bostad/713123,2 575 kr/mån,2022-08-23
Ros­backen 37,8 800 000 kr,"130 m², 9 rum","Villa, Hässelby Södra Villastad",https://www.booli.se/annons/4658372,N/A,2022-08-23
Eva Bonniers gata 2,3 200 000 kr,"58 m², 2 rum","Lägenhet, Fruängen",https://www.booli.se/annons/4714292,3 234 kr/mån,2022-08-23
Frej­gatan 35,5 000 000 kr,"66 m², 2 rum","Lägenhet, Vasastan",https://www.booli.se/bostad/305611,3 425 kr/mån,2022-07-18
Stam­gatan 76,1 665 000 kr,"32 m², 1 rum","Lägenhet, Östberga",https://www.booli.se/bostad/746606,2 624 kr/mån,2022-08-11
Hilleröds­gränd 7,2 500 000 kr,"85½ m², 4 rum","Lägenhet, Kista",https://www.booli.se/annons/4742011,5 634 kr/mån,2022-08-22
Olof Dalins väg 18,8 100 000 kr,"90 m², 4 rum","Lägenhet, Kristineberg",https://www.booli.se/annons/4539298,6 036 kr/mån,2022-08-23
Åsögatan 101,6 500 000 kr,"72½ m², 4 rum","Lägenhet, Södermalm",https://www.booli.se/bostad/310459,4 060 kr/mån,2022-08-23
Sankt Eriks­gatan 101,5 350 000 kr,"48 m², 2 rum","Lägenhet, Birkastan",https://www.booli.se/annons/4708584,2 008 kr/mån,2022-08-22
Liljeholms­torget 10,3 975 000 kr,"69 m², 2 rum","Lägenhet, Liljeholmen",https://www.booli.se/annons/4668883,2 747 kr/mån,2022-08-23
Flora­gatan 7,2 800 000 kr,"22 m², 1 rum","Lägenhet, Östermalm",https://www.booli.se/annons/4660313,946 kr/mån,2022-08-23
Stam­gatan 37,2 400 000 kr,"69½ m², 3 rum","Lägenhet, Älvsjö",https://www.booli.se/annons/4718508,4 958 kr/mån,2022-08-19
Bergtalls­vägen 24,5 250 000 kr,"89½ m², 3½ rum","Lägenhet, Älvsjö",https://www.booli.se/annons/4678154,5 389 kr/mån,2022-06-24
